p1	p2	diff	e_pvalue	meas	adj_e_pvalue
EIF3I_MOUSE	IF4A2_MOUSE	1.16887360737	0.089	5	0.914475
UD11_MOUSE	ADH1_MOUSE	1.16762597167	0.065	6	0.9042
C1QBP_MOUSE	SRSF5_MOUSE	1.16715050591	0.072	5	0.914475
GCDH_MOUSE	ACOX1_MOUSE	1.16123646897	0.066	6	0.9042
ALDOC_MOUSE	F16P1_MOUSE	1.1572855932	0.088	5	0.914475
SC24A_MOUSE	B2MG_MOUSE	1.1515691313	0.064	6	0.9042
ITB1_MOUSE	ACTN1_MOUSE	1.14155401713	0.084	6	0.914475
DHB4_MOUSE	ACOX1_MOUSE	1.13201316851	0.072	6	0.914475
RAC1_MOUSE	ARPC5_MOUSE	1.13094465761	0.11	5	0.92064
PSD13_MOUSE	S61A1_MOUSE	1.12929109823	0.118	5	0.948461538462
ALDOC_MOUSE	ALDOB_MOUSE	1.11849715333	0.095	5	0.92064
UCHL5_MOUSE	PSDE_MOUSE	1.1147997175	0.087	5	0.914475
CY250_MOUSE	HYES_MOUSE	1.10590058802	0.081	6	0.914475
MDHC_MOUSE	MAOX_MOUSE	1.10139761542	0.085	6	0.914475
RL31_MOUSE	RS5_MOUSE	1.08727919379	0.112	6	0.92064
ALDOC_MOUSE	LDHA_MOUSE	1.08682118367	0.104	5	0.92064
EIF3I_MOUSE	RS26_MOUSE	1.0828021455	0.087	6	0.914475
EIF3I_MOUSE	IF1A_MOUSE	1.06583561356	0.106	6	0.92064
HNRH1_MOUSE	U2AF2_MOUSE	1.0540423183	0.106	6	0.92064
LHPP_MOUSE	VA0D1_MOUSE	1.04339780478	0.104	6	0.92064
S61A1_MOUSE	PSMD9_MOUSE	1.03190325163	0.159	5	0.952527559055
NDUA5_MOUSE	NDUB5_MOUSE	1.01868012189	0.132	5	0.951789473684
ALDH2_MOUSE	ALD2_MOUSE	1.01816751082	0.108	6	0.92064
SODC_MOUSE	PDIA1_MOUSE	1.00662334704	0.112	6	0.92064
RS5_MOUSE	IF1A_MOUSE	1.00177960609	0.124	6	0.951789473684
CASP3_MOUSE	G3P_MOUSE	0.996382736714	0.099	6	0.92064
AATC_MOUSE	LDHA_MOUSE	0.989609717203	0.131	6	0.951789473684
TRFE_MOUSE	VATH_MOUSE	0.976935283406	0.12	6	0.948461538462
HNRH1_MOUSE	SRSF5_MOUSE	0.976484448535	0.139	5	0.952527559055
RS2_MOUSE	S61A1_MOUSE	0.971831546844	0.185	5	0.952527559055
RL18_MOUSE	RS30_MOUSE	0.945431285788	0.143	6	0.952527559055
EIF3I_MOUSE	RS5_MOUSE	0.942167467904	0.129	6	0.951789473684
FLNA_MOUSE	CALM_MOUSE	0.94013459836	0.131	6	0.951789473684
CX6A1_MOUSE	HINT1_MOUSE	0.940064224557	0.145	6	0.952527559055
RS5_MOUSE	S61A1_MOUSE	0.939560375148	0.214	5	0.952527559055
SSRA_MOUSE	RS5_MOUSE	0.938804651381	0.139	6	0.952527559055
EGFR_MOUSE	1433Z_MOUSE	0.938111314635	0.162	6	0.952527559055
PYC_MOUSE	ODP2_MOUSE	0.923257814022	0.171	6	0.952527559055
PRS8_MOUSE	PSMD9_MOUSE	0.917928293384	0.16	6	0.952527559055
AATC_MOUSE	PH4H_MOUSE	0.917160970464	0.143	6	0.952527559055
G3P_MOUSE	HS90B_MOUSE	0.896691348362	0.158	6	0.952527559055
AOFB_MOUSE	AL3A2_MOUSE	0.886856034586	0.178	6	0.952527559055
ENPL_MOUSE	DNJB4_MOUSE	0.885829563542	0.153	6	0.952527559055
RS15_MOUSE	RBM8A_MOUSE	0.884676238264	0.208	5	0.952527559055
THIM_MOUSE	ACOX1_MOUSE	0.882502252063	0.173	6	0.952527559055
RS5_MOUSE	RS26_MOUSE	0.882459222601	0.16	6	0.952527559055
PYC_MOUSE	AATC_MOUSE	0.873925325241	0.176	6	0.952527559055
AOFB_MOUSE	ALD2_MOUSE	0.871799606325	0.192	6	0.952527559055
KAPCB_MOUSE	MK03_MOUSE	0.866147808312	0.211	5	0.952527559055
PDK2_MOUSE	ODP2_MOUSE	0.852556035525	0.209	5	0.952527559055
GSTM1_MOUSE	CP254_MOUSE	0.846707931939	0.2	6	0.952527559055
PMM2_MOUSE	GMPPB_MOUSE	0.840786602927	0.216	6	0.952527559055
DECR_MOUSE	RAC1_MOUSE	0.838329320955	0.195	6	0.952527559055
CPSM_MOUSE	METK1_MOUSE	0.826498801111	0.197	6	0.952527559055
HS90B_MOUSE	PDIA1_MOUSE	0.819966952727	0.219	6	0.952527559055
FLNA_MOUSE	SODC_MOUSE	0.81848896049	0.202	6	0.952527559055
ODP2_MOUSE	DCMC_MOUSE	0.817453189495	0.23	5	0.952527559055
RS30_MOUSE	SPCS1_MOUSE	0.804179263634	0.236	5	0.952527559055
MT2_MOUSE	ICAM1_MOUSE	0.801645695662	0.219	6	0.952527559055
SC22B_MOUSE	ASNA_MOUSE	0.797037923033	0.253	5	0.952527559055
RS26_MOUSE	IF4A2_MOUSE	0.773567636416	0.269	5	0.952527559055
RAB8A_MOUSE	TBA4A_MOUSE	0.773477917737	0.281	5	0.952527559055
GBB2_MOUSE	MK03_MOUSE	0.762962855029	0.25	6	0.952527559055
UD11_MOUSE	3BHS5_MOUSE	0.760131260481	0.231	6	0.952527559055
NT5C_MOUSE	APT_MOUSE	0.75679132412	0.237	6	0.952527559055
SAM50_MOUSE	TOM40_MOUSE	0.754354374711	0.301	5	0.952527559055
RAB8A_MOUSE	CALM_MOUSE	0.753681273379	0.296	5	0.952527559055
CPSM_MOUSE	GLNA_MOUSE	0.738867516548	0.263	6	0.952527559055
RS30_MOUSE	EIF3E_MOUSE	0.731457274883	0.251	6	0.952527559055
SYK_MOUSE	SYEP_MOUSE	0.727494784975	0.283	6	0.952527559055
PRS8_MOUSE	S61A1_MOUSE	0.718971935994	0.331	5	0.952527559055
ODP2_MOUSE	HMCS2_MOUSE	0.715952623618	0.264	6	0.952527559055
SSRA_MOUSE	RS8_MOUSE	0.715824519507	0.252	6	0.952527559055
AP1G1_MOUSE	ARF1_MOUSE	0.714453102709	0.271	6	0.952527559055
FAS_MOUSE	DCMC_MOUSE	0.713722341068	0.317	5	0.952527559055
FAAA_MOUSE	HPPD_MOUSE	0.710439557805	0.279	6	0.952527559055
CP254_MOUSE	3BHS5_MOUSE	0.709168513483	0.274	6	0.952527559055
B2MG_MOUSE	MT2_MOUSE	0.709118626919	0.278	6	0.952527559055
HNRH1_MOUSE	SMD1_MOUSE	0.707545631611	0.293	6	0.952527559055
RAB8A_MOUSE	EHD1_MOUSE	0.703245125248	0.277	5	0.952527559055
RS26_MOUSE	RBM8A_MOUSE	0.702895779224	0.291	5	0.952527559055
SMD1_MOUSE	U2AF2_MOUSE	0.701497278185	0.275	6	0.952527559055
HS90B_MOUSE	SKP1_MOUSE	0.701124580406	0.271	6	0.952527559055
HPPD_MOUSE	PH4H_MOUSE	0.700389781297	0.301	6	0.952527559055
DECR_MOUSE	SODC_MOUSE	0.69806730901	0.293	6	0.952527559055
TOM40_MOUSE	SODC_MOUSE	0.69804114018	0.361	5	0.952527559055
RAB8A_MOUSE	RAC1_MOUSE	0.696385744472	0.326	5	0.952527559055
RS26_MOUSE	SSRG_MOUSE	0.687728512592	0.301	6	0.952527559055
LDHA_MOUSE	MAOX_MOUSE	0.686881900574	0.296	6	0.952527559055
ALBU_MOUSE	ICAM1_MOUSE	0.679370102575	0.291	6	0.952527559055
DHAK_MOUSE	GPDA_MOUSE	0.672750047141	0.297	6	0.952527559055
AL3A2_MOUSE	ADH1_MOUSE	0.671158205426	0.311	6	0.952527559055
SC22B_MOUSE	ARF1_MOUSE	0.671064398721	0.299	6	0.952527559055
SSRG_MOUSE	RL18_MOUSE	0.669797701054	0.312	6	0.952527559055
RS30_MOUSE	RS8_MOUSE	0.66312558576	0.319	6	0.952527559055
PHS_MOUSE	PH4H_MOUSE	0.660479407219	0.309	6	0.952527559055
TTHY_MOUSE	ITM2B_MOUSE	0.659197849702	0.357	5	0.952527559055
VPS35_MOUSE	VP26A_MOUSE	0.657603664669	0.313	6	0.952527559055
AL3A2_MOUSE	ALD2_MOUSE	0.654751430754	0.3	6	0.952527559055
RAC1_MOUSE	MK03_MOUSE	0.653342524744	0.295	6	0.952527559055
MDHC_MOUSE	PCKGC_MOUSE	0.65121044521	0.333	6	0.952527559055
RS15_MOUSE	S61A1_MOUSE	0.650058829041	0.363	5	0.952527559055
TOM22_MOUSE	SAM50_MOUSE	0.648206227638	0.396	5	0.952527559055
RL31_MOUSE	RS15_MOUSE	0.62838869419	0.336	6	0.952527559055
TRFE_MOUSE	ALBU_MOUSE	0.626860139802	0.361	6	0.952527559055
RS15_MOUSE	SSRG_MOUSE	0.626801214219	0.327	6	0.952527559055
RL31_MOUSE	SSRG_MOUSE	0.625969404265	0.354	6	0.952527559055
TBB6_MOUSE	TBA4A_MOUSE	0.625758350144	0.347	6	0.952527559055
RS26_MOUSE	EIF3E_MOUSE	0.625697343576	0.364	6	0.952527559055
MDHC_MOUSE	PYC_MOUSE	0.624170914631	0.352	6	0.952527559055
RS26_MOUSE	EIF3G_MOUSE	0.616725329446	0.362	6	0.952527559055
DNJB4_MOUSE	HS90B_MOUSE	0.613444931054	0.346	6	0.952527559055
HCDH_MOUSE	THIM_MOUSE	0.612925053275	0.34	6	0.952527559055
PCKGC_MOUSE	ODP2_MOUSE	0.608055306317	0.369	6	0.952527559055
ENPL_MOUSE	SEC63_MOUSE	0.607352240898	0.37	6	0.952527559055
AATC_MOUSE	ALDH2_MOUSE	0.606600480306	0.334	6	0.952527559055
RAC1_MOUSE	ARF1_MOUSE	0.604817424206	0.364	6	0.952527559055
HMCS2_MOUSE	THIM_MOUSE	0.59635907383	0.356	6	0.952527559055
AATC_MOUSE	IDHG1_MOUSE	0.594738452704	0.373	6	0.952527559055
RAC1_MOUSE	RHOB_MOUSE	0.592595960549	0.444	5	0.952527559055
RL31_MOUSE	RBM8A_MOUSE	0.579635665456	0.437	5	0.952527559055
CSK21_MOUSE	SEC63_MOUSE	0.579425935063	0.372	6	0.952527559055
RS15_MOUSE	EIF3G_MOUSE	0.578509259003	0.38	6	0.952527559055
PABP1_MOUSE	IF4A2_MOUSE	0.578066004853	0.422	5	0.952527559055
HS90B_MOUSE	MK03_MOUSE	0.575801860942	0.392	6	0.952527559055
GSH0_MOUSE	GLNA_MOUSE	0.57302429512	0.407	6	0.952527559055
C1QBP_MOUSE	CSK2B_MOUSE	0.569816928617	0.445	5	0.952527559055
SAHH_MOUSE	METK1_MOUSE	0.566393720808	0.376	6	0.952527559055
E41L2_MOUSE	MPP6_MOUSE	0.563119510001	0.39	5	0.952527559055
PLAK_MOUSE	EGFR_MOUSE	0.56036061195	0.383	6	0.952527559055
SSRA_MOUSE	RS30_MOUSE	0.560206643908	0.403	6	0.952527559055
RU1C_MOUSE	U2AF2_MOUSE	0.559667322845	0.384	6	0.952527559055
B2MG_MOUSE	TTHY_MOUSE	0.559265773378	0.411	6	0.952527559055
IF4A2_MOUSE	RS8_MOUSE	0.542237015566	0.436	5	0.952527559055
SSRA_MOUSE	SPCS1_MOUSE	0.540222586085	0.48	5	0.952527559055
GMPPB_MOUSE	CREL2_MOUSE	0.535345073925	0.413	6	0.952527559055
DECR_MOUSE	CP2E1_MOUSE	0.535084113672	0.419	6	0.952527559055
RBM8A_MOUSE	RL18_MOUSE	0.532434916954	0.458	5	0.952527559055
ACTN1_MOUSE	ALBU_MOUSE	0.532086616422	0.383	6	0.952527559055
RBM8A_MOUSE	RS30_MOUSE	0.522779678878	0.456	5	0.952527559055
BDH_MOUSE	SCOT1_MOUSE	0.517796969385	0.407	6	0.952527559055
EIF3I_MOUSE	RS8_MOUSE	0.515816226645	0.436	6	0.952527559055
VATH_MOUSE	VA0D1_MOUSE	0.514954861825	0.44	6	0.952527559055
CP4AA_MOUSE	CP2E1_MOUSE	0.51230354668	0.443	6	0.952527559055
NDUA5_MOUSE	PDCD5_MOUSE	0.499015651464	0.48	5	0.952527559055
K1C18_MOUSE	1433Z_MOUSE	0.498874760617	0.415	6	0.952527559055
AMACR_MOUSE	ACOX1_MOUSE	0.489502745557	0.468	6	0.952527559055
MAOX_MOUSE	FUMH_MOUSE	0.489397032603	0.456	6	0.952527559055
STRAP_MOUSE	SMD1_MOUSE	0.488543699129	0.418	6	0.952527559055
RL31_MOUSE	RS2_MOUSE	0.487494876742	0.47	6	0.952527559055
HCDH_MOUSE	HMCS2_MOUSE	0.484792856447	0.478	6	0.952527559055
CSK2B_MOUSE	SEC63_MOUSE	0.484179237603	0.512	5	0.952527559055
AATC_MOUSE	PCKGC_MOUSE	0.4803567122	0.455	6	0.952527559055
RS26_MOUSE	RL18_MOUSE	0.476883512648	0.499	6	0.952527559055
APOA2_MOUSE	APOC2_MOUSE	0.476437058963	0.499	5	0.952527559055
B2MG_MOUSE	ITM2B_MOUSE	0.47223513867	0.541	5	0.952527559055
RS5_MOUSE	IF4A2_MOUSE	0.469269414888	0.514	5	0.952527559055
TBA4A_MOUSE	SODC_MOUSE	0.465184476998	0.457	6	0.952527559055
ENPL_MOUSE	PDIA1_MOUSE	0.464753857472	0.483	6	0.952527559055
RS15_MOUSE	RL18_MOUSE	0.462491244873	0.493	6	0.952527559055
AGM1_MOUSE	GNA1_MOUSE	0.461490294	0.538	5	0.952527559055
EIF3I_MOUSE	RS15_MOUSE	0.457381754157	0.469	6	0.952527559055
SYEP_MOUSE	HS90B_MOUSE	0.457191939913	0.487	6	0.952527559055
NDUS5_MOUSE	NDUA5_MOUSE	0.456584120726	0.537	5	0.952527559055
ARGI1_MOUSE	OTC_MOUSE	0.451871570615	0.479	6	0.952527559055
SSRG_MOUSE	RS30_MOUSE	0.450687972378	0.498	6	0.952527559055
RS5_MOUSE	EIF3G_MOUSE	0.446616911736	0.472	6	0.952527559055
SYEP_MOUSE	G3P_MOUSE	0.438731806449	0.501	6	0.952527559055
CUL4A_MOUSE	SKP1_MOUSE	0.438624601571	0.504	6	0.952527559055
PRS8_MOUSE	SKP1_MOUSE	0.432875633553	0.515	6	0.952527559055
SRSF5_MOUSE	U2AF2_MOUSE	0.427929743156	0.544	5	0.952527559055
CP2E1_MOUSE	GSTM4_MOUSE	0.426228794049	0.524	6	0.952527559055
EIF3I_MOUSE	RS30_MOUSE	0.424269964195	0.525	6	0.952527559055
SYEP_MOUSE	CPSM_MOUSE	0.415804308066	0.524	6	0.952527559055
RL31_MOUSE	SPCS1_MOUSE	0.413807589733	0.561	5	0.952527559055
ARGI1_MOUSE	OAT_MOUSE	0.404429524264	0.562	6	0.952527559055
PABP1_MOUSE	ATX2L_MOUSE	0.398600618397	0.556	6	0.952527559055
RS2_MOUSE	RS30_MOUSE	0.393931437349	0.557	6	0.952527559055
KAPCB_MOUSE	CALM_MOUSE	0.392418070308	0.565	5	0.952527559055
PRS8_MOUSE	PSDE_MOUSE	0.38524956069	0.558	6	0.952527559055
ITA1_MOUSE	ITB1_MOUSE	0.384409667381	0.618	5	0.952527559055
CH60_MOUSE	BAX_MOUSE	0.38247717243	0.578	5	0.952527559055
UD11_MOUSE	AK1D1_MOUSE	0.378960891078	0.556	6	0.952527559055
RL18_MOUSE	RS8_MOUSE	0.378625781735	0.555	6	0.952527559055
RAB1B_MOUSE	SC22B_MOUSE	0.377010640902	0.582	6	0.952527559055
QCR10_MOUSE	TIM8B_MOUSE	0.374675348244	0.593	5	0.952527559055
RS2_MOUSE	RS26_MOUSE	0.372807693136	0.564	6	0.952527559055
SSRA_MOUSE	S61A1_MOUSE	0.371087351445	0.616	5	0.952527559055
S61A1_MOUSE	SEC63_MOUSE	0.368247172585	0.627	5	0.952527559055
RS15_MOUSE	RS5_MOUSE	0.363526070633	0.61	6	0.952527559055
RL31_MOUSE	EF2_MOUSE	0.361077730205	0.596	6	0.952527559055
GBB2_MOUSE	KAPCB_MOUSE	0.36032498221	0.629	5	0.952527559055
UCHL5_MOUSE	PSD13_MOUSE	0.35936175007	0.607	5	0.952527559055
TTHY_MOUSE	ALBU_MOUSE	0.358708645861	0.582	6	0.952527559055
AATC_MOUSE	AL3A2_MOUSE	0.358530421976	0.567	6	0.952527559055
CP2E1_MOUSE	3BHS5_MOUSE	0.357051968	0.599	6	0.952527559055
G3P_MOUSE	LDHA_MOUSE	0.35610224746	0.614	6	0.952527559055
SSRG_MOUSE	SPCS1_MOUSE	0.354836656126	0.617	5	0.952527559055
CX6A1_MOUSE	QCR10_MOUSE	0.348672003412	0.639	5	0.952527559055
CH60_MOUSE	HS90B_MOUSE	0.347624879409	0.585	6	0.952527559055
CP254_MOUSE	CP4AA_MOUSE	0.343676256935	0.621	6	0.952527559055
NLTP_MOUSE	DHB4_MOUSE	0.342523269932	0.63	6	0.952527559055
IF4A2_MOUSE	EIF3E_MOUSE	0.337706808946	0.617	5	0.952527559055
LHPP_MOUSE	VATH_MOUSE	0.337214412272	0.631	6	0.952527559055
RHOB_MOUSE	MK03_MOUSE	0.332505837371	0.651	5	0.952527559055
DHSD_MOUSE	FUMH_MOUSE	0.331954662011	0.625	6	0.952527559055
CASP3_MOUSE	DBNL_MOUSE	0.331157126702	0.608	6	0.952527559055
CP2E1_MOUSE	ADH1_MOUSE	0.329152884268	0.613	6	0.952527559055
CUL4A_MOUSE	CSN6_MOUSE	0.32773922971	0.641	5	0.952527559055
QCR10_MOUSE	DHSD_MOUSE	0.325874604711	0.644	5	0.952527559055
AOFB_MOUSE	ALDH2_MOUSE	0.324817901648	0.607	6	0.952527559055
SRSF5_MOUSE	SMD1_MOUSE	0.319127245445	0.684	5	0.952527559055
RCC2_MOUSE	NUDC_MOUSE	0.314984160983	0.652	5	0.952527559055
CADH2_MOUSE	RAC1_MOUSE	0.30943942122	0.635	6	0.952527559055
CPSM_MOUSE	OTC_MOUSE	0.306436917274	0.639	6	0.952527559055
RBM8A_MOUSE	U2AF2_MOUSE	0.305672521127	0.685	5	0.952527559055
S61A1_MOUSE	PSDE_MOUSE	0.304686045782	0.669	5	0.952527559055
FLNA_MOUSE	ITA1_MOUSE	0.303251939025	0.693	5	0.952527559055
BPNT1_MOUSE	PAPS1_MOUSE	0.297691182386	0.719	5	0.952527559055
RAC1_MOUSE	PLAK_MOUSE	0.294190074892	0.667	6	0.952527559055
SYEP_MOUSE	RBM47_MOUSE	0.293434955372	0.656	6	0.952527559055
RS15_MOUSE	SSRA_MOUSE	0.290537638824	0.638	6	0.952527559055
SYEP_MOUSE	GLNA_MOUSE	0.289393464127	0.694	6	0.952527559055
MPC1_MOUSE	ODP2_MOUSE	0.289299396753	0.673	6	0.952527559055
ODP2_MOUSE	FAS_MOUSE	0.289116435185	0.662	6	0.952527559055
RS15_MOUSE	IF4A2_MOUSE	0.288139276848	0.676	5	0.952527559055
RL31_MOUSE	RS30_MOUSE	0.283435473394	0.679	6	0.952527559055
CX6A1_MOUSE	NDUB5_MOUSE	0.28342276131	0.672	6	0.952527559055
CSK2B_MOUSE	CSK21_MOUSE	0.282257375546	0.708	5	0.952527559055
MDHC_MOUSE	SODC_MOUSE	0.280122943648	0.667	6	0.952527559055
ACSL1_MOUSE	ACOX1_MOUSE	0.279945547944	0.666	6	0.952527559055
RBM8A_MOUSE	RS8_MOUSE	0.277474179858	0.678	5	0.952527559055
NT5C_MOUSE	HPRT_MOUSE	0.277288543009	0.703	6	0.952527559055
RS5_MOUSE	EIF3E_MOUSE	0.277151920728	0.673	6	0.952527559055
GSTM4_MOUSE	ADH1_MOUSE	0.273827607596	0.649	6	0.952527559055
NDUS5_MOUSE	NDUB5_MOUSE	0.27368138404	0.69	6	0.952527559055
FAAA_MOUSE	FUMH_MOUSE	0.272939987938	0.677	6	0.952527559055
GRHPR_MOUSE	ALD2_MOUSE	0.270748904182	0.676	6	0.952527559055
TRFE_MOUSE	VA0D1_MOUSE	0.266088833946	0.707	6	0.952527559055
PSMD9_MOUSE	PSDE_MOUSE	0.266082904888	0.706	6	0.952527559055
RS8_MOUSE	SPCS1_MOUSE	0.265369397145	0.695	5	0.952527559055
CP254_MOUSE	CP2E1_MOUSE	0.263174090545	0.694	6	0.952527559055
RS15_MOUSE	SPCS1_MOUSE	0.261664156348	0.71	5	0.952527559055
SYEP_MOUSE	RS30_MOUSE	0.258608280497	0.688	6	0.952527559055
EF2_MOUSE	RS8_MOUSE	0.257713497525	0.691	6	0.952527559055
EIF3G_MOUSE	IF1A_MOUSE	0.256858990743	0.715	6	0.952527559055
PDLI5_MOUSE	ACTN1_MOUSE	0.256464132802	0.742	6	0.952527559055
SYEP_MOUSE	MCA3_MOUSE	0.256338492073	0.722	5	0.952527559055
SYK_MOUSE	MCA3_MOUSE	0.253955263204	0.722	5	0.952527559055
THIM_MOUSE	SCOT1_MOUSE	0.253741556616	0.704	6	0.952527559055
B2MG_MOUSE	ICAM1_MOUSE	0.251263182551	0.679	6	0.952527559055
MDHC_MOUSE	FUMH_MOUSE	0.250440179809	0.713	6	0.952527559055
HS90B_MOUSE	CSK21_MOUSE	0.249241596912	0.704	6	0.952527559055
CX6A1_MOUSE	MPPB_MOUSE	0.240526433315	0.741	5	0.952527559055
RS15_MOUSE	RS2_MOUSE	0.240162538583	0.699	6	0.952527559055
SMD1_MOUSE	RBM8A_MOUSE	0.239091021915	0.753	5	0.952527559055
PSD13_MOUSE	SKP1_MOUSE	0.238539616964	0.719	6	0.952527559055
ALDH2_MOUSE	ADH1_MOUSE	0.238402666538	0.726	6	0.952527559055
RS15_MOUSE	RS30_MOUSE	0.232070037776	0.721	6	0.952527559055
EF2_MOUSE	RL18_MOUSE	0.231099252464	0.741	6	0.952527559055
KAPCB_MOUSE	AT1A1_MOUSE	0.230883980042	0.752	5	0.952527559055
FABPL_MOUSE	ACOX1_MOUSE	0.229086050757	0.743	6	0.952527559055
RS8_MOUSE	EIF3E_MOUSE	0.226774774012	0.721	6	0.952527559055
RU1C_MOUSE	SMD1_MOUSE	0.226749892616	0.747	6	0.952527559055
HCDH_MOUSE	SCOT1_MOUSE	0.224378279933	0.729	6	0.952527559055
CALM_MOUSE	TBA4A_MOUSE	0.223022289272	0.747	6	0.952527559055
PYC_MOUSE	LDHA_MOUSE	0.222389415835	0.739	6	0.952527559055
ALDOB_MOUSE	LDHA_MOUSE	0.217817897125	0.736	6	0.952527559055
CX6A1_MOUSE	DHSD_MOUSE	0.215563624756	0.769	6	0.952527559055
PSD13_MOUSE	PSMD9_MOUSE	0.214911060268	0.745	6	0.952527559055
SSRA_MOUSE	RL18_MOUSE	0.2146617307	0.741	6	0.952527559055
THIO_MOUSE	PRDX1_MOUSE	0.211350305101	0.755	6	0.952527559055
HS90B_MOUSE	RS30_MOUSE	0.210872752149	0.749	6	0.952527559055
AKC1H_MOUSE	AK1D1_MOUSE	0.210268032082	0.755	5	0.952527559055
RAC1_MOUSE	CALM_MOUSE	0.209085458003	0.751	6	0.952527559055
EF2_MOUSE	IF5A1_MOUSE	0.208413118994	0.747	6	0.952527559055
PYC_MOUSE	PCKGC_MOUSE	0.208209521636	0.748	6	0.952527559055
AATC_MOUSE	HPPD_MOUSE	0.207768820267	0.78	6	0.952527559055
PDIA1_MOUSE	APOA2_MOUSE	0.207726192327	0.751	6	0.952527559055
ENPL_MOUSE	CH60_MOUSE	0.207459978058	0.75	6	0.952527559055
KAPCB_MOUSE	ITB1_MOUSE	0.207125520149	0.754	5	0.952527559055
RL31_MOUSE	RS8_MOUSE	0.206577504563	0.775	6	0.952527559055
FLNA_MOUSE	TBA4A_MOUSE	0.202429751654	0.75	6	0.952527559055
GSTM1_MOUSE	GSTM4_MOUSE	0.201131892618	0.767	6	0.952527559055
THIO_MOUSE	SODC_MOUSE	0.200069047107	0.747	6	0.952527559055
GRHPR_MOUSE	SPYA_MOUSE	0.198860562327	0.756	6	0.952527559055
FKB1A_MOUSE	HS90B_MOUSE	0.198531792983	0.758	6	0.952527559055
VAPB_MOUSE	RMD3_MOUSE	0.196605467746	0.762	6	0.952527559055
EF2_MOUSE	RS30_MOUSE	0.195141451856	0.754	6	0.952527559055
RS2_MOUSE	EF2_MOUSE	0.193143988349	0.751	6	0.952527559055
MDHC_MOUSE	AATC_MOUSE	0.192345682348	0.785	6	0.952527559055
SERB_MOUSE	SPYA_MOUSE	0.188074226028	0.779	5	0.952527559055
RS5_MOUSE	SSRG_MOUSE	0.186124182536	0.79	6	0.952527559055
RS8_MOUSE	EIF3G_MOUSE	0.185133001962	0.778	6	0.952527559055
RS5_MOUSE	SPCS1_MOUSE	0.184798574071	0.79	5	0.952527559055
RAC1_MOUSE	HS90B_MOUSE	0.181640425948	0.813	6	0.952527559055
AATC_MOUSE	GSH0_MOUSE	0.181406925399	0.763	6	0.952527559055
CP2E1_MOUSE	UD11_MOUSE	0.17995498133	0.783	6	0.952527559055
CSN6_MOUSE	CSN3_MOUSE	0.179450152254	0.832	5	0.952527559055
RS30_MOUSE	EIF3G_MOUSE	0.179012497783	0.756	6	0.952527559055
ACSL1_MOUSE	MGLL_MOUSE	0.176949819016	0.795	6	0.952527559055
RS15_MOUSE	RS8_MOUSE	0.17517237098	0.768	6	0.952527559055
GPDA_MOUSE	GPAT1_MOUSE	0.172657944548	0.784	6	0.952527559055
IF4A2_MOUSE	EIF3G_MOUSE	0.17237486301	0.808	5	0.952527559055
QCR10_MOUSE	NDUB5_MOUSE	0.171312569042	0.831	5	0.952527559055
